genre,song_name,danceability,energy,loudness,valence,,,,,,,
Pop,Don't Wanna Know,0.777,0.627,-6.142,0.444,,,,,,,
Pop,On Top Of The World,0.635,0.926,-5.589,0.761,,,,,,,
Pop,#SELFIE,0.789,0.916,-3.262,0.658,,,,,,,
Pop,Waiting For Love,0.579,0.736,-3.863,0.613,,,,,,,
Pop,In the Name of Love,0.501,0.519,-5.88,0.168,,,,,,,
Pop,Last Friday Night (T.G.I.F.),0.651,0.812,-3.797,0.72,,,,,,,
Pop,TiK ToK,0.755,0.832,-2.741,0.735,,,,,,,
Pop,Since U Been Gone,0.662,0.741,-5.406,0.404,,,,,,,
Pop,Slow Down,0.722,0.821,-3.856,0.721,,,,,,,
Pop,Beautiful Girls - Radio Disney Version,0.772,0.648,-6.222,0.741,,,,,,,
Pop,Perfect Illusion,0.613,0.857,-5.492,0.664,,,,,,,
Pop,On My Mind,0.702,0.705,-6.665,0.743,,,,,,,
Pop,So What,0.535,0.886,-3.106,0.445,,,,,,,
Pop,Pump It,0.649,0.931,-3.15,0.744,,,,,,,
Pop,Where Is The Love?,0.836,0.699,-3.235,0.818,,,,,,,
Pop,Love Yourself,0.609,0.378,-9.828,0.515,,,,,,,
Pop,We Are Young (feat. Janelle MonÃ¡e),0.378,0.638,-5.576,0.735,,,,,,,
Pop,I Gotta Feeling,0.743,0.766,-6.375,0.61,,,,,,,
Pop,Bleeding Love,0.635,0.647,-5.865,0.203,,,,,,,
Pop,Rockabye (feat. Sean Paul & Anne-Marie),0.72,0.763,-4.068,0.742,,,,,,,
Pop,Work from Home,0.803,0.631,-4.213,0.659,,,,,,,
Pop,Starving,0.695,0.615,-4.194,0.532,,,,,,,
Pop,Sorry,0.654,0.76,-3.669,0.41,,,,,,,
Pop,Chained To The Rhythm,0.446,0.793,-5.365,0.47,,,,,,,
Pop,Cheap Thrills (feat. Sean Paul),0.592,0.788,-4.924,0.755,,,,,,,
Pop,It Ain't Me (with Selena Gomez),0.64,0.533,-6.596,0.515,,,,,,,
Pop,Lean On (feat. MÃ˜ & DJ Snake),0.723,0.809,-3.081,0.274,,,,,,,
Pop,Get Lucky (feat. Pharrell Williams & Nile Rodgers),0.81,0.793,-9.404,0.863,,,,,,,
Pop,What Makes You Beautiful,0.729,0.771,-2.451,0.873,,,,,,,
Pop,Price Tag,0.638,0.831,-3.944,0.685,,,,,,,
Pop,Hey Baby,0.599,0.877,-3.45,0.79,,,,,,,
Pop,It's My Life,0.612,0.735,-5.074,0.783,,,,,,,
Pop,Drag Me Down,0.73,0.703,-5.672,0.595,,,,,,,
Pop,Steal My Girl,0.536,0.768,-5.948,0.545,,,,,,,
Pop,One Way or Another (Teenage Kicks),0.489,0.867,-3.121,0.409,,,,,,,
Pop,All About That Bass,0.807,0.887,-3.726,0.961,,,,,,,
Pop,NO,0.557,0.801,-3.602,0.654,,,,,,,
Pop,Me Too,0.934,0.694,-5.849,0.835,,,,,,,
Pop,Toxic,0.774,0.838,-3.914,0.924,,,,,,,
Pop,Lush Life,0.694,0.712,-3.923,0.799,,,,,,,
Pop,...Baby One More Time,0.759,0.699,-5.745,0.907,,,,,,,
Pop,Oops!...I Did It Again,0.751,0.834,-5.444,0.894,,,,,,,
Pop,(You Drive Me) Crazy,0.748,0.939,-4.288,0.96,,,,,,,
Pop,That's What I Like,0.853,0.56,-4.961,0.86,,,,,,,
Pop,24K Magic,0.818,0.803,-4.282,0.632,,,,,,,
Pop,Locked Away (feat. Adam Levine),0.509,0.671,-5.709,0.55,,,,,,,
Pop,Galway Girl,0.624,0.876,-3.374,0.781,,,,,,,
Pop,Whistle,0.747,0.937,-5.746,0.739,,,,,,,
Pop,That's My Girl,0.596,0.851,-4.245,0.612,,,,,,,
Pop,Shake It Off,0.648,0.785,-5.414,0.943,,,,,,,
Pop,Blank Space,0.752,0.678,-5.421,0.583,,,,,,,
Pop,We Are Never Ever Getting Back Together,0.624,0.685,-5.902,0.781,,,,,,,
Pop,22,0.662,0.736,-6.511,0.674,,,,,,,
Pop,Most Girls,0.755,0.57,-7.132,0.406,,,,,,,
Pop,Loca People - Radio Edit,0.926,0.808,-3.148,0.701,,,,,,,
Pop,The Scientist,0.557,0.442,-7.224,0.213,,,,,,,
Pop,Fix You,0.209,0.417,-8.74,0.124,,,,,,,
Pop,Bang Bang,0.707,0.752,-4.401,0.724,,,,,,,
Pop,Cool Kids,0.719,0.671,-6.279,0.786,,,,,,,
Pop,Bad Blood,0.654,0.655,-7.388,0.221,,,,,,,
Pop,We Can't Stop,0.613,0.622,-5.794,0.484,,,,,,,
Pop,The Only Exception,0.452,0.563,-6.607,0.209,,,,,,,
Pop,Want U Back,0.694,0.891,-2.94,0.563,,,,,,,
Pop,I Don't Feel Like Dancin' - Radio Edit,0.711,0.924,-3.398,0.912,,,,,,,
Pop,Look What You Made Me Do,0.767,0.671,-6.416,0.474,,,,,,,
Pop,Issues,0.683,0.427,-6.827,0.426,,,,,,,
Pop,Part Of Me,0.678,0.918,-4.63,0.769,,,,,,,
Pop,Sign of the Times,0.516,0.595,-4.63,0.222,,,,,,,
Pop,Stressed Out,0.734,0.637,-5.677,0.648,,,,,,,
Pop,Ride,0.645,0.713,-5.355,0.566,,,,,,,
Pop,Closer,0.748,0.524,-5.599,0.661,,,,,,,
Pop,Side To Side,0.648,0.738,-5.883,0.603,,,,,,,
Pop,We Don't Talk Anymore (feat. Selena Gomez),0.728,0.563,-8.053,0.352,,,,,,,
Pop,No Money,0.674,0.915,-3.999,0.78,,,,,,,
Pop,Chandelier,0.399,0.787,-2.88,0.572,,,,,,,
Pop,Cool Girl,0.671,0.71,-6.997,0.233,,,,,,,
Pop,Love Today,0.673,0.913,-4.981,0.587,,,,,,,
Pop,Rude,0.774,0.756,-4.995,0.931,,,,,,,
Pop,How to Be a Heartbreaker,0.69,0.897,-4.696,0.849,,,,,,,
Pop,Big Girl (You Are Beautiful),0.797,0.75,-6.324,0.808,,,,,,,
Pop,Buttons - Final Edit Version,0.478,0.829,-4.222,0.506,,,,,,,
Pop,Survivor,0.524,0.904,-2.071,0.655,,,,,,,
Pop,Heart Attack,0.504,0.785,-4.802,0.502,,,,,,,
Pop,Check On It (feat. Bun B & Slim Thug),0.705,0.796,-6.845,0.864,,,,,,,
Pop,Cake By The Ocean,0.774,0.764,-5.445,0.912,,,,,,,
Pop,Curious,0.788,0.703,-5.986,0.442,,,,,,,
Pop,Girls Like Girls,0.611,0.701,-5.235,0.604,,,,,,,
Pop,IDGAF,0.836,0.544,-5.975,0.51,,,,,,,
Pop,Beautiful,0.457,0.573,-3.866,0.0992,,,,,,,
Pop,Flames,0.609,0.726,-4.346,0.362,,,,,,,
Pop,Snow (Hey Oh),0.427,0.9,-3.674,0.599,,,,,,,
Pop,Run It!,0.85,0.482,-6.684,0.217,,,,,,,
Pop,Homesick,0.426,0.224,-8.683,0.399,,,,,,,
Pop,Believe,0.339,0.67,-5.995,0.383,,,,,,,
Pop,I Believe,0.749,0.774,-6.221,0.35,,,,,,,
Pop,Mood (feat. iann dior),0.7,0.722,-3.558,0.756,,,,,,,
Pop,Blinding Lights,0.513,0.796,-4.075,0.345,,,,,,,
Pop,positions,0.736,0.802,-4.759,0.675,,,,,,,
